name,gender,age,status,penalty,time,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
WereWolf,mixed,veteran,,0,23:12:38,269,114,EST,Mälberg,Meelis,EST,Soome,Imbi,,,,,,
RoadWolf,men,open,,0,22:09:39,268,33,EST,Kiljak,Riivo,EST,Proosväli,Kristo,,,,,,
Keset Loojangut,men,veteran,,0,23:34:55,268,105,EST,Ivanov,Heno,EST,Kangur,Raul,,,,,,
BUKOVYNA KHARAKTERNYKY,mixed,superveteran,,1,24:00:31,268,16,UKR,Bevzo,Valentyna,UKR,Lipka,Volodymyr,,,,,,
Hortitsa,women,open,,8,24:07:56,268,72,UKR,Martynova,Svitlana,UKR,Perevalova,Tetiana,,,,,,
ViruTamm,men,superveteran,,0,23:32:31,265,103,EST,Tammemäe,Urmas,EST,Viru,Ülo,,,,,,
eBIOpower,men,open,,0,23:30:03,262,28,LAT,Gangitis,Gatis,LAT,Petersons,Juris,,,,,,
Ansambel Zutzakad,men,youth,,0,23:41:53,262,236,EST,Kuslap,Hannes,EST,Voovere,Karl-Martin,,,,,,
Klemmide Sõbrad,men,veteran,,0,23:43:56,262,67,EST,Saamann,Gert,EST,Saare,Tarmo,,,,,,
AmberFox,women,veteran,,0,23:44:28,261,38,LAT,Kremere,Ilze,LAT,Simsone,Ieva,,,,,,
Saulkrasti Showel Racing Team,mixed,veteran,,0,23:42:25,258,18,LAT,Brakovska,Sniedze,LAT,Pakis,Eduards,,,,,,
Amber Race,mixed,veteran,,0,23:50:28,258,189,LAT,Kukks,Janis,LAT,Močāne,Baiba,,,,,,
Läti koondis,men,open,,0,22:20:37,256,227,EST,Aavik,Iiv,EST,Kuslap,Kaarel,EST,Rull,Hendrik,,,
Staying alive,men,veteran,,0,23:34:32,255,224,LAT,Akots,Aivars,LAT,Malbergs,Arnis,LAT,Ozoliņš,Mārtiņš,,,
OZO,women,ultraveteran,,0,23:34:51,255,46,LAT,Ābola,Alīda,LAT,Grunde,Ligita,,,,,,
Jūra līdz ceļiem,women,veteran,,0,23:38:19,254,65,LAT,Segliņa,Indra,LAT,Vītoliņa,Ieva,,,,,,
Inlook Color - meie värvime,mixed,veteran,,0,23:41:15,253,36,EST,Parts,Katrin,EST,Parts,Margus,,,,,,
Luna TI,men,veteran,,0,23:42:33,253,244,RUS,Savchenko,Viacheslav,UKR,Shpak,Andrey,,,,,,
Latvju dēli,men,youth,,0,23:51:46,253,48,LAT,Neuss-Lucs,Tomass,LAT,Reinis Tiss,Tomass,,,,,,
Moscow Shebekino,women,veteran,,0,23:54:33,251,115,RUS,Mikheeva,Nina,RUS,Rudenko,Elena,,,,,,
Mona W,women,superveteran,,0,23:37:47,250,50,LAT,Buša,Velga,LAT,Puriņa,Baiba,,,,,,
Ehtel &amp; Riika,women,veteran,,0,23:41:38,250,109,EST,Ploompuu,Riika,EST,Taevere,Ehtel,,,,,,
Jautrie tētuki,men,veteran,,0,23:42:48,248,221,LAT,Auziņš,Rolands,LAT,Baķis,Normunds,,,,,,
Top Rope Poltava,men,open,,0,21:30:28,247,31,UKR,Dobrenkyi,Yaroslav,UKR,Kurochkin,Dmytro,,,,,,
Värska Originaal,men,veteran,,0,22:36:16,247,241,EST,Kikerpill,Lauri,EST,Mahla,Indrek,EST,Mitt,Risto,,,
